Maczka Stanisława 73A, Kraków
Odrodzenia 31A/04, Kraków
Wrzosowa 61A, Kraków
Czereśniowa 57/06, Kraków
Fabryczna 82A/22, Kraków
Kaliska 61/53, Kraków
Sucha 08A, Kraków
Żniwna 90A, Kraków
Puszkina Aleksandra 58, Kraków
Botaniczna 48A/19, Kraków
Jaracza Stefana 95A, Kraków
Lawendowa 53A/04, Kraków
Grodzka 94A, Kraków
Jasna 52A, Kraków
Dworska 63A, Kraków
Królewska 24, Kraków
Podmiejska 68A, Kraków
Lompy Józefa 90A, Kraków
11 Listopada 46, Kraków
Wieniawskiego Henryka 22/73, Kraków
Botaniczna 43A/52, Kraków
Orzechowa 76, Kraków
Hetmańska 30A/98, Kraków
Grójecka 23, Kraków
Krótka 93A/04, Kraków
Łączna 43A/63, Kraków
Wierzbowa 55, Kraków
Pawia 16A/50, Kraków
Zwycięstwa 61A, Kraków
Okopowa 93A, 70-479 Kraków
